id,weight,survey_start_time,survey_finish_time,duration(minutes),DeviceType2,order,health_rating,life_quality_rating,physical_health_rating,mental_health_rating,bed_time_hour_weekday,bed_time_15mins_weekday,am/pm_bed_time,wake_up_hour_weekday,wake_up_15_mins_weekday,am/pm_wake_up_weekday,min_in_bed_weekday,bed_time_hour_weekends,bed_time_15min_weekends,am/pm_bed_time_weekend,wake_up_hour_weekends,wake_up_15min_weekends,am/pm_wake_up_weekend,min_in_bed_weekend,hours_sleep_weekday,mins_sleep_weekday,hours_sleep_weekend,mins_sleep_weekend,mins_sleep_weekday,mins_sleep_weekend,Q7_Hours,Q7_Minutes,Q8_a,Q8_b,Q8_c,Q8_d,Q9_a,Q9_b,Q9_c,Q10_a,Q11,Q11A_a,Q11A_b,Q11A_c,Q11A_d,Q11A_e,Q12_a,Q12_b,Q13_a,Q13_a_3,Q13_b,Q14order,Q14_a,Q14_b,Q14_c,Q14_d,Q14_e,Q14a,Q15_a,Q15_b,Q15_c,Q15_d,Q15_e,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23_a,Q23_b,Q23_c,Q24_a,Q24_b,Q24_c,Q24_d,Q24_e,Q24_f,Q25_a,Q25_b,Q25_c,Q25_A2,Q26,Q27,Q28_a,Q28_b,Q28_c,Q28_d,Q28_e,Q28_f,Q28_g,Q28_h,Q28_i,Q28_j,Q28_k,Q29,Q30_a,Q30_b,Q30_c,Q31
1,2.7211,05-Dec-2014 17:30:31,05-Dec-2014 17:41:55,11,9,"b,a",2,2,2,2,11,3,2,8,2,1,525.0,1,2,2,9,2,1,1200.0,7,2,7,2,435.0,435.0,8,2,3,4,3,4,3,4,3,4,2.0,1.0,2.0,2.0,1.0,2.0,3,2,2,1,3,"a,b,e,c,d",3,2,2,1,2,3,2,1,1,3,1,3,2,2,2,2,2,2,,,,2,-1,2,3,2,1,2,3,4,8.0,2.0,,,,,,,,,,,,,,2,4,3,2
2,1.2304,05-Dec-2014 17:30:46,05-Dec-2014 17:43:39,12,9,"b,a",3,3,3,3,11,3,2,8,3,1,540.0,11,3,2,8,3,1,540.0,8,1,8,1,480.0,480.0,8,1,3,3,3,2,4,2,2,4,3.0,4.0,3.0,3.0,4.0,3.0,1,1,3,2,2,"a,b,d,e,c",4,4,5,2,3,2,3,2,2,3,2,2,3,1,3,2,4,2,,,,3,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,2,1,1,2
3,0.9174,05-Dec-2014 17:31:16,05-Dec-2014 17:46:37,15,9,"a,b",1,1,1,1,10,1,2,6,3,1,510.0,11,1,2,7,1,1,480.0,8,1,8,1,480.0,480.0,8,1,4,4,3,1,4,3,3,4,1.0,3.0,3.0,3.0,3.0,3.0,4,1,2,1,2,"a,b,c,e,d",4,4,4,3,3,2,1,1,1,2,1,1,1,1,4,2,4,2,,,,3,4,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,1,1,1,3
4,0.8991,05-Dec-2014 17:31:30,05-Dec-2014 17:39:10,7,9,"b,a",3,2,3,3,11,3,2,7,3,1,480.0,12,3,1,8,3,1,480.0,7,1,7,3,420.0,450.0,8,1,3,1,5,3,3,2,2,2,5.0,2.0,3.0,3.0,3.0,3.0,1,1,4,3,4,"a,b,e,c,d",3,3,4,2,2,2,1,1,2,2,1,2,3,2,3,3,4,2,,,,2,3,2,3,3,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,2
5,0.5285,05-Dec-2014 17:31:37,05-Dec-2014 17:36:51,5,1,"a,b",1,2,2,1,10,3,2,6,1,1,450.0,10,3,2,6,1,1,450.0,7,3,7,3,450.0,450.0,6,3,4,4,2,1,4,2,2,4,,,,,,,1,1,2,1,1,"a,b,d,e,c",4,4,4,2,1,1,1,1,1,1,1,3,3,2,5,2,4,2,,,,4,4,4,4,4,4,1,1,1,,,,,,,,,,,,,,,,1,1,1,1
7,1.4771,05-Dec-2014 17:32:19,05-Dec-2014 17:57:21,25,9,"b,a",1,1,1,1,11,3,2,7,1,1,450.0,2,1,1,8,1,1,360.0,5,3,6,2,330.0,375.0,6,1,4,4,3,3,5,3,2,5,1.0,4.0,4.0,4.0,4.0,4.0,2,1,1,1,1,"a,b,e,c,d",5,5,3,5,2,1,1,1,1,1,1,1,2,1,2,3,4,2,,,,4,4,4,4,4,4,3,2,1,5.0,2.0,,,,,,,,,,,,,,4,4,4,1
8,0.6142,05-Dec-2014 17:32:40,05-Dec-2014 17:44:53,12,9,"b,a",2,2,3,2,11,1,2,10,1,1,660.0,11,1,2,10,1,1,660.0,8,1,8,1,480.0,480.0,10,1,2,2,4,2,4,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,2,1,2,1,2,"a,b,e,c,d",4,4,5,2,2,3,1,1,1,2,4,2,3,2,3,2,3,2,,,,2,2,2,2,2,2,4,3,3,9.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3,3,2,2
9,0.714,05-Dec-2014 17:32:47,05-Dec-2014 17:41:36,8,1,"a,b",3,4,4,3,10,3,2,5,4,1,435.0,11,3,2,6,3,1,420.0,5,3,6,1,330.0,360.0,7,1,1,1,4,3,2,3,4,3,4.0,3.0,3.0,2.0,3.0,3.0,1,1,3,2,4,"a,b,d,c,e",2,2,2,4,4,1,1,1,1,2,1,2,2,1,3,2,4,2,,,,3,3,3,3,3,3,4,2,1,3.0,2.0,,,,,,,,,,,,,,3,4,3,2
10,0.6873,05-Dec-2014 17:33:29,05-Dec-2014 17:41:21,7,9,"a,b",2,2,2,2,8,3,2,5,2,1,525.0,9,3,2,6,1,1,510.0,8,1,8,1,480.0,480.0,7,1,5,4,1,1,5,1,1,4,,,,,,,2,1,2,1,2,"a,b,d,e,c",4,4,4,1,1,2,1,1,1,1,1,2,2,3,4,2,4,1,1.0,2.0,2.0,3,2,3,3,2,3,3,3,2,4.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,1,3,1,2
11,1.6134,05-Dec-2014 17:33:44,05-Dec-2014 17:41:26,7,9,"a,b",3,3,4,3,9,3,2,6,3,1,540.0,9,3,2,6,3,1,540.0,8,1,8,1,480.0,480.0,8,1,3,3,4,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,2,4,"a,b,d,e,c",3,3,2,3,3,2,2,3,3,3,2,3,3,3,3,3,2,2,,,,3,3,3,4,3,3,3,2,3,4.0,2.0,,,,,,,,,,,,,,3,2,3,3
12,0.7761,05-Dec-2014 17:33:49,05-Dec-2014 17:39:00,5,9,"a,b",1,1,1,2,9,3,2,7,1,1,570.0,9,3,2,7,1,1,570.0,8,1,8,1,480.0,480.0,8,1,3,3,3,3,4,3,3,4,1.0,2.0,2.0,2.0,2.0,2.0,1,1,2,1,2,"a,b,e,c,d",4,4,4,2,3,1,1,1,1,2,1,2,2,2,2,1,4,2,,,,2,2,2,2,2,2,1,1,1,,,,,,,,,,,,,,,,1,1,1,1
13,1.0352,05-Dec-2014 17:33:54,05-Dec-2014 17:47:50,13,9,"a,b",4,3,4,3,10,2,2,6,2,1,480.0,10,3,2,7,4,1,555.0,6,3,5,3,390.0,330.0,7,1,2,3,3,4,3,4,3,2,5.0,3.0,3.0,2.0,3.0,3.0,3,1,2,1,2,"a,b,d,c,e",3,3,3,4,2,3,1,1,1,3,1,2,3,3,4,3,3,2,,,,2,2,2,3,3,3,2,2,1,3.0,2.0,,,,,,,,,,,,,,2,1,1,3
14,0.6873,05-Dec-2014 17:34:12,05-Dec-2014 17:47:48,13,9,"a,b",3,2,3,1,11,2,2,6,3,1,435.0,11,2,2,7,1,1,465.0,7,1,7,2,420.0,435.0,7,1,4,4,2,3,5,2,1,4,5.0,3.0,4.0,4.0,4.0,4.0,1,1,2,1,2,"a,b,d,e,c",4,4,4,2,3,2,2,3,1,2,2,2,2,3,5,2,4,2,,,,2,3,2,3,3,2,2,1,1,,,,,,,,,,,,,,,,1,1,1,3
15,1.0459,05-Dec-2014 17:34:32,05-Dec-2014 17:47:28,12,4,"a,b",4,4,4,3,11,2,2,5,3,1,375.0,12,1,1,7,2,1,435.0,4,3,5,3,270.0,330.0,6,1,2,2,3,3,3,3,3,3,5.0,3.0,3.0,3.0,3.0,3.0,3,1,2,1,3,"a,b,e,d,c",2,3,3,3,3,4,1,1,1,1,1,2,2,2,2,2,3,1,1.0,2.0,2.0,3,1,1,3,2,1,4,3,3,8.0,1.0,5.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,2.0,2,3,1,2
16,1.3826,05-Dec-2014 17:34:47,05-Dec-2014 18:04:16,29,7,"a,b",3,3,3,3,8,2,2,6,3,1,615.0,10,2,2,8,3,1,615.0,7,1,9,1,420.0,540.0,8,1,3,3,3,3,3,3,3,3,5.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,4,"a,b,d,e,c",4,3,3,4,4,2,2,4,4,2,1,2,2,1,2,4,4,2,,,,3,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,2,1,1,2
17,0.8195,05-Dec-2014 17:35:08,05-Dec-2014 17:47:17,12,4,"a,b",3,1,3,1,11,1,2,6,1,1,420.0,11,3,2,8,1,1,510.0,6,1,7,1,360.0,420.0,6,1,3,3,1,1,4,2,2,3,5.0,4.0,4.0,4.0,4.0,4.0,1,1,1,1,1,"a,b,c,d,e",4,4,4,2,2,2,1,1,1,1,3,3,2,3,4,3,4,2,,,,3,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,1,1,2,2
18,0.817,05-Dec-2014 17:35:19,05-Dec-2014 17:43:39,8,9,"a,b",3,3,3,1,10,1,2,7,1,1,540.0,10,2,2,7,1,1,525.0,8,1,8,1,480.0,480.0,7,1,4,4,2,1,4,2,2,4,,,,,,,1,1,2,1,2,"a,b,d,c,e",4,4,4,2,2,2,1,2,2,2,1,2,2,2,3,2,3,2,,,,2,2,2,3,3,3,1,1,1,,,,,,,,,,,,,,,,2,2,2,2
19,0.8846,05-Dec-2014 17:35:21,05-Dec-2014 17:50:26,15,9,"a,b",3,3,3,4,3,1,1,8,1,1,300.0,3,1,1,10,3,1,450.0,5,1,8,1,300.0,480.0,7,1,1,2,4,4,2,3,3,3,5.0,2.0,2.0,3.0,3.0,3.0,2,1,3,2,4,"a,b,d,e,c",2,2,2,1,4,3,1,2,1,2,1,4,4,2,3,4,3,2,,,,2,2,3,2,2,2,4,3,3,8.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,3,3,3,4
20,0.714,05-Dec-2014 17:36:12,05-Dec-2014 17:41:48,5,9,"a,b",3,2,3,1,3,1,1,7,1,1,240.0,3,1,1,9,1,1,360.0,4,1,6,1,240.0,360.0,4,1,3,3,3,3,3,3,3,3,3.0,2.0,3.0,3.0,2.0,3.0,1,2,4,3,4,"a,b,d,e,c",3,3,3,3,3,4,5,3,2,4,3,3,3,5,1,3,3,2,,,,1,2,3,3,2,3,2,3,4,7.0,2.0,,,,,,,,,,,,,,1,2,2,3
21,0.8846,05-Dec-2014 17:36:28,05-Dec-2014 17:44:53,8,9,"a,b",3,3,3,2,10,1,2,6,1,1,480.0,10,1,2,7,3,1,570.0,7,1,8,1,420.0,480.0,8,1,4,4,2,2,4,2,2,4,,,,,,,3,1,3,2,3,"a,b,d,e,c",4,4,4,3,3,3,1,3,2,4,2,2,2,1,4,2,4,2,,,,2,2,2,2,2,2,2,2,1,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,2,2,2,2
22,0.7028,05-Dec-2014 17:36:51,05-Dec-2014 17:44:02,7,9,"a,b",5,3,5,3,12,-1,1,8,-1,1,480.0,12,-1,1,9,-1,1,540.0,7,3,8,3,450.0,510.0,7,1,3,3,2,2,4,2,3,3,5.0,3.0,3.0,3.0,3.0,2.0,1,3,3,2,3,"a,b,d,c,e",4,3,3,2,2,3,2,2,3,3,2,3,3,2,4,1,2,2,,,,3,2,3,3,2,3,3,2,2,7.0,1.0,5.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1,2,2,2
23,0.3093,05-Dec-2014 17:37:01,05-Dec-2014 18:48:54,71,9,"b,a",3,3,3,3,11,2,2,9,3,1,615.0,11,3,2,9,3,1,600.0,8,1,8,1,480.0,480.0,8,1,3,3,3,2,4,3,3,3,1.0,3.0,3.0,3.0,4.0,4.0,1,4,2,1,1,"a,b,e,d,c",4,4,4,3,3,2,1,1,1,3,1,2,2,3,3,2,2,2,,,,3,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,1,1,1,2
24,1.483,05-Dec-2014 17:37:06,05-Dec-2014 17:53:54,16,7,"b,a",1,2,2,1,12,1,2,7,1,1,1140.0,2,1,1,10,1,1,480.0,6,3,5,3,390.0,330.0,6,1,4,5,1,1,4,2,2,4,,,,,,,1,1,2,1,3,"a,b,c,e,d",4,4,4,2,2,1,2,3,2,2,1,2,2,2,5,3,4,2,,,,3,2,3,4,3,3,2,2,2,4.0,2.0,,,,,,,,,,,,,,1,1,1,1
25,1.0166,05-Dec-2014 17:37:57,05-Dec-2014 17:46:56,8,4,"a,b",2,2,2,2,10,3,2,7,3,1,540.0,11,2,2,9,1,1,585.0,8,3,9,1,510.0,540.0,7,1,4,4,4,1,4,1,1,5,1.0,3.0,4.0,3.0,4.0,4.0,1,1,1,1,2,"a,b,c,e,d",4,4,4,1,2,1,2,2,2,2,1,2,3,3,3,2,3,2,,,,2,3,2,3,3,2,1,1,1,,,,,,,,,,,,,,,,2,2,2,2
26,0.8229,05-Dec-2014 17:39:36,05-Dec-2014 17:49:13,9,4,"b,a",2,2,2,1,9,4,2,6,3,1,525.0,10,3,2,6,3,1,480.0,8,3,8,1,510.0,480.0,7,1,5,5,1,1,5,1,1,5,,,,,,,1,1,1,1,1,"a,b,c,e,d",5,5,5,1,1,1,1,1,2,2,1,1,1,1,2,4,4,2,,,,3,3,3,4,4,4,1,1,1,,,,,,,,,,,,,,,,1,1,1,1
27,0.9197,05-Dec-2014 17:39:45,05-Dec-2014 17:54:39,14,9,"b,a",2,2,2,1,10,1,2,6,2,1,495.0,10,1,2,7,3,1,570.0,6,3,7,1,390.0,420.0,8,1,3,3,2,1,4,2,3,4,5.0,4.0,4.0,4.0,4.0,3.0,1,1,1,1,2,"a,b,d,e,c",4,4,2,1,1,1,1,1,1,2,1,2,3,1,4,2,4,2,,,,3,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,1,1,1,1
28,0.5107,05-Dec-2014 17:40:54,05-Dec-2014 17:48:25,7,9,"b,a",2,2,2,2,10,4,2,8,1,1,555.0,10,4,2,8,1,1,555.0,6,3,6,3,390.0,390.0,7,1,3,3,4,3,4,4,4,3,5.0,3.0,4.0,4.0,4.0,3.0,1,1,1,1,3,"a,b,c,d,e",3,3,5,3,1,1,1,1,1,1,1,4,4,2,3,1,3,2,,,,4,4,4,4,4,4,1,1,1,,,,,,,,,,,,,,,,1,1,1,1
29,0.6687,05-Dec-2014 17:41:28,05-Dec-2014 20:16:30,155,1,"a,b",2,3,3,3,11,1,2,7,1,1,480.0,11,3,2,7,3,1,480.0,7,1,7,1,420.0,420.0,7,3,4,3,3,2,3,3,3,4,5.0,4.0,4.0,4.0,3.0,4.0,1,1,2,1,3,"a,b,d,c,e",3,4,4,2,3,3,2,1,3,3,1,2,2,3,3,2,3,2,,,,3,3,3,3,3,3,4,3,2,6.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1,1,2,3
30,1.225,05-Dec-2014 17:41:55,05-Dec-2014 17:52:50,10,9,"b,a",3,3,3,3,2,3,1,3,3,2,780.0,2,3,1,3,3,2,780.0,10,1,10,1,600.0,600.0,7,1,2,2,3,3,3,3,3,2,5.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,5,"a,b,e,d,c",2,3,1,4,5,3,1,3,1,3,1,4,4,3,3,3,4,1,1.0,1.0,2.0,2,2,2,2,2,2,4,3,3,6.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3,3,2,4
31,0.5094,05-Dec-2014 17:42:30,05-Dec-2014 18:03:33,21,3,"b,a",2,2,3,2,10,3,2,6,3,1,480.0,10,3,2,6,3,1,480.0,8,1,8,1,480.0,480.0,8,1,5,5,1,1,5,1,1,4,,,,,,,1,1,2,1,1,"a,b,c,e,d",4,4,5,1,1,1,2,2,2,2,2,4,4,2,4,2,4,2,,,,3,3,3,3,2,3,1,1,1,,,,,,,,,,,,,,,,2,2,2,2
32,0.6371,05-Dec-2014 17:43:25,05-Dec-2014 17:55:29,12,9,"b,a",2,2,2,3,11,1,2,8,3,1,570.0,11,1,2,8,1,1,540.0,10,1,9,3,600.0,570.0,7,1,4,4,3,1,4,1,3,4,5.0,3.0,3.0,3.0,3.0,3.0,3,1,3,2,3,"a,b,c,d,e",4,4,3,1,2,2,1,3,2,3,1,4,3,3,4,3,4,2,,,,3,3,3,3,3,3,2,2,1,4.0,2.0,,,,,,,,,,,,,,2,2,1,2
33,0.703,05-Dec-2014 17:43:43,05-Dec-2014 17:54:24,10,9,"a,b",1,1,1,2,2,1,1,9,1,1,420.0,5,1,1,12,2,2,435.0,7,1,7,1,420.0,420.0,7,1,5,5,1,3,5,2,2,5,5.0,4.0,4.0,4.0,4.0,4.0,1,1,1,1,1,"a,b,d,c,e",4,4,4,1,2,1,2,2,1,1,1,1,1,1,1,4,4,2,,,,3,3,3,3,3,3,2,2,2,2.0,2.0,,,,,,,,,,,,,,5,1,1,1
34,1.0203,05-Dec-2014 17:44:09,05-Dec-2014 18:05:53,21,7,"b,a",2,2,2,2,11,1,2,6,3,1,450.0,11,3,2,7,3,1,480.0,6,3,7,1,390.0,420.0,6,3,4,4,1,1,4,2,1,4,,,,,,,1,3,2,1,3,"a,b,e,d,c",4,4,2,2,2,2,2,2,1,2,4,2,3,2,3,1,4,2,,,,2,2,3,3,2,3,2,2,1,3.0,2.0,,,,,,,,,,,,,,2,1,1,2
35,0.5203,05-Dec-2014 17:44:28,05-Dec-2014 17:52:42,8,9,"a,b",2,2,2,2,10,1,2,6,4,1,525.0,10,1,2,6,4,1,525.0,8,1,8,1,480.0,480.0,8,1,4,5,1,2,5,1,2,5,,,,,,,2,1,2,1,2,"a,b,c,d,e",4,4,4,2,3,2,1,1,1,2,1,1,1,2,5,2,4,2,,,,2,3,3,3,3,3,2,1,1,,,,,,,,,,,,,,,,1,1,1,1
36,3.2992,05-Dec-2014 17:44:40,05-Dec-2014 17:56:19,11,7,"a,b",3,-1,2,4,10,1,2,6,3,1,510.0,11,1,2,10,1,1,660.0,8,3,9,1,510.0,540.0,9,1,3,1,1,1,3,1,2,4,5.0,1.0,2.0,1.0,2.0,3.0,1,1,3,2,5,"a,b,e,d,c",3,2,3,3,2,1,1,3,2,1,1,2,1,1,3,4,4,2,,,,2,3,2,3,3,4,1,1,1,,,,,,,,,,,,,,,,3,1,3,2
37,1.1767,05-Dec-2014 17:44:43,05-Dec-2014 18:02:23,17,4,"b,a",4,3,3,2,11,1,2,7,1,1,480.0,12,1,1,8,1,1,480.0,7,4,7,4,465.0,465.0,7,1,5,5,2,1,5,1,2,4,,,,,,,1,1,1,1,1,"a,b,c,d,e",4,4,4,1,1,1,2,2,2,2,1,2,2,2,5,2,3,2,,,,3,3,3,3,3,4,4,2,2,4.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,2,4,3,2
38,1.0097,05-Dec-2014 17:46:05,05-Dec-2014 17:52:23,6,9,"b,a",2,2,2,2,9,3,2,6,1,1,510.0,10,1,2,7,1,1,540.0,7,1,7,1,420.0,420.0,6,1,4,4,2,2,4,2,3,4,5.0,3.0,3.0,3.0,3.0,3.0,1,1,2,1,2,"a,b,e,c,d",4,4,5,3,3,2,2,2,2,2,2,2,2,2,3,1,3,2,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,2.0,,,,,,,,,,,,,,3,2,2,2
39,0.8567,05-Dec-2014 17:48:33,05-Dec-2014 17:55:12,6,6,"a,b",3,3,3,3,9,1,2,5,3,1,510.0,9,3,2,6,1,1,510.0,8,1,8,1,480.0,480.0,7,1,1,1,5,5,1,5,5,1,1.0,2.0,2.0,2.0,2.0,2.0,3,1,4,3,2,"a,b,d,c,e",4,4,3,2,3,3,2,2,2,3,2,3,4,2,4,3,4,2,,,,2,2,2,2,2,2,4,3,2,8.0,2.0,,,,,,,,,,,,,,2,1,2,4
41,1.152,05-Dec-2014 17:50:02,05-Dec-2014 18:02:19,12,9,"b,a",4,3,4,3,11,3,2,6,4,1,435.0,1,3,1,8,3,1,420.0,6,1,6,1,360.0,360.0,8,3,3,4,2,2,2,2,3,3,5.0,2.0,2.0,2.0,2.0,2.0,2,1,3,2,3,"a,b,c,e,d",3,2,4,2,4,2,1,3,3,4,2,4,3,2,3,2,4,2,,,,3,3,3,2,3,2,5,2,1,10.0,2.0,,,,,,,,,,,,,,4,3,4,4
42,0.9413,05-Dec-2014 17:52:41,05-Dec-2014 17:59:17,6,9,"b,a",2,3,2,2,10,3,2,5,3,1,420.0,10,3,2,5,3,1,420.0,6,1,6,1,360.0,360.0,6,3,3,4,3,2,3,2,4,3,5.0,3.0,3.0,3.0,3.0,3.0,1,3,2,1,3,"a,b,d,e,c",3,3,4,2,2,2,3,4,2,3,1,3,2,2,3,2,3,2,,,,2,2,2,3,3,2,2,1,1,,,,,,,,,,,,,,,,4,2,4,2
43,0.7785,05-Dec-2014 17:53:47,05-Dec-2014 18:12:26,18,9,"a,b",3,3,4,1,11,3,2,8,1,1,510.0,11,3,2,8,1,1,510.0,7,3,7,3,450.0,450.0,7,1,3,3,1,1,4,2,2,4,1.0,4.0,4.0,4.0,4.0,3.0,1,1,1,1,1,"a,b,e,c,d",4,4,5,1,1,3,1,3,1,1,1,2,2,2,3,2,4,2,,,,4,3,3,4,3,2,3,1,1,,,,,,,,,,,,,,,,3,1,2,4
44,0.8033,05-Dec-2014 17:54:10,05-Dec-2014 18:02:09,7,9,"a,b",2,1,2,1,9,1,2,4,3,1,450.0,10,1,2,8,1,1,600.0,6,3,9,1,390.0,540.0,7,1,4,3,3,2,3,3,3,4,5.0,3.0,3.0,4.0,4.0,4.0,1,1,2,1,1,"a,b,e,c,d",2,2,4,2,4,1,2,1,1,2,3,3,1,1,5,2,4,2,,,,2,3,2,4,4,3,2,1,1,,,,,,,,,,,,,,,,1,1,2,1
45,0.5807,05-Dec-2014 17:56:27,05-Dec-2014 18:04:24,7,9,"b,a",2,2,2,2,9,1,2,4,1,1,420.0,9,1,2,4,1,1,420.0,7,1,7,1,420.0,420.0,7,1,4,3,3,1,3,2,2,4,1.0,3.0,3.0,3.0,4.0,4.0,2,1,1,1,2,"a,b,d,e,c",4,4,4,1,1,2,2,2,1,2,1,3,2,2,3,2,3,2,,,,3,3,3,3,3,3,3,2,2,4.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2
46,0.5686,05-Dec-2014 17:56:29,05-Dec-2014 18:32:52,36,9,"a,b",2,2,3,2,10,1,2,7,1,1,540.0,10,3,2,7,1,1,510.0,8,1,8,1,480.0,480.0,7,1,4,4,3,3,4,3,3,3,5.0,3.0,3.0,3.0,3.0,3.0,1,4,2,1,2,"a,b,e,d,c",4,4,4,3,3,2,1,2,2,2,2,3,3,2,4,2,3,2,,,,3,3,3,3,3,3,2,2,1,3.0,2.0,,,,,,,,,,,,,,1,1,1,2
47,1.2829,05-Dec-2014 17:56:45,05-Dec-2014 18:05:40,8,9,"b,a",4,4,4,4,10,1,2,8,1,1,600.0,10,1,2,8,1,1,600.0,8,1,8,1,480.0,480.0,6,1,5,5,5,3,4,3,3,3,1.0,3.0,3.0,2.0,3.0,2.0,1,1,1,1,1,"a,b,d,c,e",4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,-1,,,,4,4,4,4,4,4,1,1,1,,,,,,,,,,,,,,,,1,1,1,2
48,0.6001,05-Dec-2014 17:56:58,06-Dec-2014 10:27:16,990,9,"b,a",3,3,3,3,10,3,2,5,3,1,420.0,10,3,2,5,3,1,420.0,6,3,6,1,390.0,360.0,6,1,4,4,1,1,4,2,1,4,,,,,,,1,1,2,1,1,"a,b,e,c,d",5,5,5,5,5,1,1,1,1,1,1,4,5,2,5,3,4,2,,,,3,3,3,3,3,3,2,2,2,2.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,1,1,1,2
49,1.3001,05-Dec-2014 17:57:53,05-Dec-2014 18:33:06,35,9,"a,b",4,4,2,5,12,3,1,7,1,1,390.0,2,-1,1,11,-1,1,540.0,6,1,8,1,360.0,480.0,7,1,1,3,3,2,3,4,4,3,5.0,3.0,3.0,3.0,3.0,2.0,1,1,3,2,4,"a,b,d,e,c",3,3,2,3,4,3,2,2,2,2,1,4,4,2,3,2,4,2,,,,3,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,1,1,1,1
