,year,paid_work_study,paid_work_(all),work_school_travel,in_school,research/homework,job_serach,other_paid_work_study,unpaid_work,routine_housework,shopping,care_for_household_members,child_care,adult_care,care_for_non_household_members,volunteering,household_activity_travel,other_unpaid,personal_care,sleeping,eating_drinking,personal_care_travel,leisure,sports,attending_events,meeting_friends,tv_radio,other_leisure_activities,other,religion,other_(no categories),total
Australia,2006,304,248,31,15,10.0,0.0,0.0,172,93,22,27.0,0.0,0.0,0.0,4.0,25.0,0.0,649,513,87,49,297,23,5.0,34,159,76,18,10.0,8.0,1440
Austria,2008,365,303,34,23,1.0,2.0,1.0,135,79,16,21.0,20.0,1.0,0.0,5.0,13.0,2.0,624,496,77,51,308,34,10.0,81,117,66,8,3.0,5.0,1440
Belgium,2013,274,203,29,28,13.0,0.0,0.0,144,87,23,14.0,14.0,0.0,4.0,4.0,13.0,0.0,648,506,96,47,365,27,18.0,47,140,134,8,2.0,6.0,1440
Canada,2015,341,270,33,21,14.0,2.0,0.0,148,95,19,19.0,18.0,1.0,3.0,3.0,9.0,0.0,622,514,65,43,298,25,6.0,53,118,96,32,3.0,29.0,1440
Denmark,2001,260,211,29,13,7.0,0.0,0.0,186,107,22,20.0,0.0,0.0,11.0,4.0,22.0,0.0,643,479,118,46,340,25,7.0,74,132,101,11,7.0,4.0,1440
Estonia,2009,264,211,30,23,0.0,0.0,0.0,160,89,20,18.0,18.0,0.0,11.0,0.0,21.0,0.0,664,532,82,50,345,32,7.0,36,140,130,6,0.0,6.0,1440
Finland,2009,249,198,21,28,0.0,0.0,2.0,157,84,23,14.0,13.0,1.0,2.0,4.0,20.0,11.0,630,505,80,45,359,39,7.0,50,136,127,45,1.0,44.0,1440
France,2009,235,174,26,24,8.0,3.0,1.0,135,97,18,14.0,13.0,1.0,1.0,0.0,4.0,1.0,743,509,134,99,319,17,16.0,52,125,109,8,2.0,6.0,1440
Germany,2012,290,227,33,15,10.0,1.0,5.0,150,81,27,12.0,11.0,1.0,6.0,7.0,17.0,2.0,638,494,93,50,346,28,13.0,58,126,121,16,2.0,14.0,1440
Greece,2013,274,210,28,22,14.0,0.0,0.0,95,51,15,13.0,13.0,0.0,5.0,0.0,11.0,0.0,689,501,134,54,375,34,5.0,58,150,129,6,2.0,4.0,1440
