Survey year,Age of reference,Paid work or study,paid work (all jobs),travel to and from work/study,time in school or classes,research/homework,job search,other paid work or study-related,Unpaid work,routine housework,shopping,care for household members,child care,adult care,care for non household members,volunteering,travel related to household activities,other unpaid,Personal care,sleeping,eating & drinking,"personal, household, and medical services + travel related to personal care",Leisure,sports,participating / attending events,visiting or entertaining friends,TV or radio at home,Other leisure activities,Other,religious / spiritual activities and civic obligations,other (no categories),Total
2006,15 and more,238,186,25,16,11.0,0.0,0.0,243,132,29,45,0.0,0.0,0.0,6,32.0,0.0,657,512,89,56,281,19,6,40,140,76,20,13,7,1440
2008,15-64,306,248,29,26,1.0,1.0,1.0,202,125,21,34,33.0,1.0,1.0,4,17.0,2.0,632,498,79,55,291,32,9,82,109,59,8,3,5,1440
2013,15-64,236,168,26,27,15.0,0.0,0.0,192,121,29,22,22.0,0.0,4.0,3,15.0,0.0,664,513,99,53,339,21,15,50,131,122,9,3,7,1440
2015,15-64,305,238,29,21,15.0,2.0,0.0,186,115,24,29,28.0,1.0,4.0,3,10.0,0.0,637,520,65,52,279,21,6,53,109,89,34,4,30,1440
2001,15-64,225,177,23,16,9.0,0.0,0.0,217,128,26,28,0.0,0.0,10.0,3,22.0,0.0,659,489,119,52,329,22,7,81,123,95,10,6,4,1440
2009,15-64,256,201,29,24,1.0,0.0,0.0,208,121,24,28,28.0,0.0,10.0,2,23.0,0.0,663,530,79,54,309,27,8,38,122,114,5,1,4,1440
2009,15-64,229,177,21,29,0.0,0.0,2.0,197,109,26,23,22.0,1.0,3.0,4,21.0,10.0,640,508,81,52,331,37,8,55,118,113,43,1,41,1440
2009,15-64,204,145,23,24,10.0,2.0,0.0,181,129,22,22,21.0,1.0,2.0,0,6.0,1.0,752,513,133,107,294,12,15,55,114,98,9,3,6,1440
2012,15-64,248,191,28,14,10.0,1.0,4.0,196,109,32,19,18.0,1.0,6.0,6,20.0,3.0,648,498,95,55,331,26,14,61,118,112,17,3,14,1440
2013,15-64,228,163,25,23,17.0,0.0,0.0,180,125,16,19,19.0,0.0,7.0,0,13.0,0.0,685,500,128,57,341,28,5,56,137,115,6,3,3,1440
2010,15-64,238,171,29,27,11.0,0.0,0.0,229,150,19,33,33.0,0.0,9.0,1,18.0,0.0,683,506,101,76,281,13,6,35,134,94,9,1,7,1440
2005,15-64,268,208,23,37,0.0,0.0,0.0,210,91,28,61,0.0,0.0,0.0,8,23.0,0.0,609,491,75,42,312,20,42,49,85,116,41,6,35,1440
2013,15-64,177,122,21,13,15.0,3.0,3.0,219,135,28,27,25.0,2.0,7.0,3,21.0,0.0,708,513,127,68,323,38,6,65,104,110,13,7,6,1440
2016,15-64,363,282,43,37,,0.0,0.0,132,80,25,0,19.0,4.0,,4,,0.0,620,442,93,85,278,10,0,17,103,148,47,0,47,1440
2014,15-64,344,231,57,37,20.0,0.0,0.0,132,76,13,28,0.0,0.0,1.0,1,13.0,0.0,678,471,117,90,258,27,4,42,102,82,28,9,18,1440
2003,15-64,330,280,37,10,4.0,0.0,0.0,196,130,16,15,15.0,0.0,11.0,0,24.0,0.0,641,512,89,40,269,25,5,35,123,81,4,2,2,1440
2003,20-64,315,275,29,8,3.0,0.0,0.0,224,154,17,19,19.0,0.0,13.0,0,20.0,0.0,646,503,88,54,247,16,1,32,137,61,8,3,5,1440
2013,15-64,285,212,35,25,13.0,0.0,0.0,179,108,23,20,20.0,0.0,3.0,3,22.0,0.0,686,518,112,55,276,33,12,32,116,82,14,3,11,1440
2014,15-64,349,263,39,34,11.0,2.0,0.0,264,187,14,38,33.0,6.0,12.0,2,10.0,0.0,634,499,77,58,172,14,7,44,66,41,21,20,1,1440
2016,15-64,243,183,31,14,12.0,1.0,3.0,186,105,28,22,21.0,0.0,7.0,5,18.0,1.0,682,503,114,65,315,22,7,73,113,101,15,6,10,1440
2009,15-64,270,218,23,18,11.0,0.0,0.0,204,110,24,30,30.0,0.0,8.0,5,28.0,0.0,648,526,80,42,301,17,6,69,124,85,17,9,9,1440
2010,15-64,241,167,30,32,8.0,0.0,4.0,196,83,20,23,23.0,0.0,0.0,6,24.0,40.0,627,492,79,56,368,21,8,57,129,154,7,2,5,1440
2013,15-64,260,202,27,21,9.0,0.0,0.0,226,135,25,38,38.0,0.0,9.0,1,18.0,0.0,657,509,91,57,286,23,3,45,122,93,11,9,3,1440
1999,15-64,295,234,25,27,9.0,,,223,161,15,17,,,7.0,2,20.0,,676,506,112,58,241,12,11,44,114,60,6,5,1,1440
2000,15-64,265,202,25,21,17.0,0.0,0.0,231,166,18,21,21.0,0.0,7.0,1,18.0,0.0,628,501,86,41,311,32,5,62,120,92,6,4,2,1440
2009,15-64,202,151,21,18,8.0,3.0,1.0,217,116,25,35,32.0,3.0,6.0,1,22.0,12.0,692,516,126,51,316,42,9,51,129,85,13,4,9,1440
2010,15-64,293,231,31,31,0.0,0.0,0.0,196,107,23,33,25.0,7.0,0.0,0,26.0,7.0,622,483,83,57,321,34,9,53,113,112,6,0,0,1440
2014,15-64,246,186,31,17,12.0,0.0,0.0,186,124,14,29,26.0,2.0,2.0,3,12.0,3.0,682,515,118,50,286,9,3,68,124,82,40,33,7,1440
2014,15-64,262,194,39,14,13.0,2.0,1.0,195,104,29,32,26.0,6.0,7.0,3,20.0,0.0,645,508,79,58,306,19,7,47,133,98,32,4,28,1440
2019,15-64,289,233,22,18,14.0,2.0,0.0,219,99,22,29,27.0,2.0,4.0,6,28.0,3.0,652,531,62,59,286,20,7,43,144,72,24,8,16,1440
2008,15-74,340,268,47,25,0.0,0.0,0.0,164,103,20,23,0.0,0.0,2.0,1,15.0,0.0,694,542,100,52,228,23,2,23,127,53,15,0,15,1440
1998,15-64,295,240,32,12,11.0,0.0,0.0,191,148,12,21,0.0,0.0,1.0,0,8.0,0.0,687,528,84,75,254,5,5,73,61,109,12,12,0,1440
2010,15-64,241,153,36,26,13.0,0.0,13.0,182,130,9,18,17.0,1.0,1.0,2,9.0,13.0,695,553,72,70,306,5,5,82,132,82,16,16,0,1440
2006,15 and more,172,128,18,15,11.0,0.0,0.0,311,168,36,64,0.0,0.0,0.0,8,36.0,0.0,666,514,91,61,269,16,6,46,123,78,22,15,7,1440
2008,15-64,249,193,25,29,1.0,1.0,1.0,269,170,26,47,45.0,2.0,1.0,3,21.0,2.0,641,501,81,58,274,30,9,83,101,52,7,2,5,1440
2013,15-64,199,134,24,25,16.0,0.0,0.0,237,153,34,29,29.0,0.0,3.0,2,16.0,0.0,677,519,101,57,317,16,13,54,122,111,9,3,7,1440
2015,15-64,268,206,25,20,16.0,1.0,0.0,224,134,29,39,37.0,2.0,5.0,4,12.0,0.0,653,527,65,61,260,17,6,54,100,83,36,5,31,1440
