Country,Australia,Austria,Belgium,Canada,Denmark,Estonia,Finland,France ,Germany,Greece*,Hungary,Ireland,Italy,Japan,Korea,Latvia,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovenia,Spain,Sweden,Turkey,United Kingdom,United States,China,India,South Africa
year,2006.0,2008.0,2013.0,2015.0,2001.0,2009.0,2009.0,2009.0,2012.0,2013.0,1999.0,2005.0,2013.0,2016.0,2009.0,2003.0,2014.0,2005.0,2009.0,2010.0,2013.0,1999.0,2000.0,2009.0,2010.0,2014.0,2014.0,2016.0,2008.0,1999.0,2010.0
paid_work_study,238.0,306.0,191.0,305.0,225.0,256.0,229.0,204.0,248.0,182.0,277.0,271.0,177.0,363.0,348.0,330.0,359.0,281.0,270.0,241.0,218.0,295.0,265.0,202.0,274.0,200.0,262.0,290.0,340.0,295.0,241.0
paid_work_(all),186.0,248.0,127.0,238.0,177.0,201.0,177.0,145.0,191.0,120.0,214.0,211.0,122.0,282.0,225.0,280.0,269.0,213.0,218.0,167.0,172.0,234.0,202.0,151.0,246.0,154.0,194.0,232.0,268.0,240.0,153.0
work_school_travel,25.0,29.0,22.0,29.0,23.0,29.0,21.0,23.0,28.0,18.0,30.0,23.0,21.0,43.0,58.0,37.0,40.0,28.0,23.0,30.0,23.0,25.0,25.0,21.0,18.0,0.0,39.0,22.0,47.0,32.0,36.0
in_school,16.0,26.0,41.0,21.0,16.0,24.0,29.0,24.0,14.0,25.0,33.0,37.0,13.0,37.0,57.0,10.0,36.0,27.0,18.0,32.0,15.0,27.0,21.0,18.0,10.0,46.0,14.0,21.0,25.0,12.0,26.0
research/homework,11.0,1.0,0.0,15.0,9.0,1.0,0.0,10.0,10.0,17.0,0.0,0.0,15.0,0.0,9.0,4.0,12.0,12.0,11.0,8.0,8.0,9.0,17.0,8.0,0.0,0.0,13.0,13.0,0.0,11.0,13.0
job_serach,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
other_paid_work_study,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0
unpaid_work,243.0,202.0,211.0,186.0,217.0,208.0,197.0,181.0,196.0,193.0,200.0,213.0,219.0,132.0,136.0,196.0,270.0,193.0,204.0,196.0,226.0,223.0,231.0,217.0,196.0,199.0,195.0,197.0,164.0,191.0,182.0
routine_housework,132.0,125.0,129.0,115.0,128.0,121.0,109.0,129.0,109.0,132.0,128.0,92.0,135.0,80.0,79.0,130.0,189.0,98.0,110.0,83.0,144.0,161.0,166.0,116.0,92.0,118.0,104.0,102.0,103.0,148.0,130.0
