,year,paid_work_study,paid_work_(all),work_school_travel,in_school,research/homework,job_serach,other_paid_work_study,unpaid_work,routine_housework,shopping,care_for_household_members,child_care,adult_care,care_for_non_household_members,volunteering,household_activity_travel,other_unpaid,personal_care,sleeping,eating_drinking,personal_care_travel,leisure,sports,attending_events,meeting_friends,tv_radio,other_leisure_activities,other,religion,other_(no categories),total
Australia,2006.0,238.0,186.0,25.0,16.0,11.0,0.0,0.0,243.0,132.0,29.0,45.0,0.0,0.0,0.0,6.0,32.0,0.0,657.0,512.0,89.0,56.0,281.0,19.0,6.0,40.0,140.0,76.0,20.0,13.0,7.0,1440.0
Austria,2008.0,306.0,248.0,29.0,26.0,1.0,1.0,1.0,202.0,125.0,21.0,34.0,33.0,1.0,1.0,4.0,17.0,2.0,632.0,498.0,79.0,55.0,291.0,32.0,9.0,82.0,109.0,59.0,8.0,3.0,5.0,1440.0
Belgium,2013.0,236.0,168.0,26.0,27.0,15.0,0.0,0.0,192.0,121.0,29.0,22.0,22.0,0.0,4.0,3.0,15.0,0.0,664.0,513.0,99.0,53.0,339.0,21.0,15.0,50.0,131.0,122.0,9.0,3.0,7.0,1440.0
Canada,2015.0,305.0,238.0,29.0,21.0,15.0,2.0,0.0,186.0,115.0,24.0,29.0,28.0,1.0,4.0,3.0,10.0,0.0,637.0,520.0,65.0,52.0,279.0,21.0,6.0,53.0,109.0,89.0,34.0,4.0,30.0,1440.0
Denmark,2001.0,225.0,177.0,23.0,16.0,9.0,0.0,0.0,217.0,128.0,26.0,28.0,0.0,0.0,10.0,3.0,22.0,0.0,659.0,489.0,119.0,52.0,329.0,22.0,7.0,81.0,123.0,95.0,10.0,6.0,4.0,1440.0
Estonia,2009.0,256.0,201.0,29.0,24.0,1.0,0.0,0.0,208.0,121.0,24.0,28.0,28.0,0.0,10.0,2.0,23.0,0.0,663.0,530.0,79.0,54.0,309.0,27.0,8.0,38.0,122.0,114.0,5.0,1.0,4.0,1440.0
Finland,2009.0,229.0,177.0,21.0,29.0,0.0,0.0,2.0,197.0,109.0,26.0,23.0,22.0,1.0,3.0,4.0,21.0,10.0,640.0,508.0,81.0,52.0,331.0,37.0,8.0,55.0,118.0,113.0,43.0,1.0,41.0,1440.0
France,2009.0,204.0,145.0,23.0,24.0,10.0,2.0,0.0,181.0,129.0,22.0,22.0,21.0,1.0,2.0,0.0,6.0,1.0,752.0,513.0,133.0,107.0,294.0,12.0,15.0,55.0,114.0,98.0,9.0,3.0,6.0,1440.0
Germany,2012.0,248.0,191.0,28.0,14.0,10.0,1.0,4.0,196.0,109.0,32.0,19.0,18.0,1.0,6.0,6.0,20.0,3.0,648.0,498.0,95.0,55.0,331.0,26.0,14.0,61.0,118.0,112.0,17.0,3.0,14.0,1440.0
Greece,2013.0,228.0,163.0,25.0,23.0,17.0,0.0,0.0,180.0,125.0,16.0,19.0,19.0,0.0,7.0,0.0,13.0,0.0,685.0,500.0,128.0,57.0,341.0,28.0,5.0,56.0,137.0,115.0,6.0,3.0,3.0,1440.0
Hungary,2010.0,238.0,171.0,29.0,27.0,11.0,0.0,0.0,229.0,150.0,19.0,33.0,33.0,0.0,9.0,1.0,18.0,0.0,683.0,506.0,101.0,76.0,281.0,13.0,6.0,35.0,134.0,94.0,9.0,1.0,7.0,1440.0
Ireland,2005.0,268.0,208.0,23.0,37.0,0.0,0.0,0.0,210.0,91.0,28.0,61.0,0.0,0.0,0.0,8.0,23.0,0.0,609.0,491.0,75.0,42.0,312.0,20.0,42.0,49.0,85.0,116.0,41.0,6.0,35.0,1440.0
Italy ,2013.0,177.0,122.0,21.0,13.0,15.0,3.0,3.0,219.0,135.0,28.0,27.0,25.0,2.0,7.0,3.0,21.0,0.0,708.0,513.0,127.0,68.0,323.0,38.0,6.0,65.0,104.0,110.0,13.0,7.0,6.0,1440.0
Japan,2016.0,363.0,282.0,43.0,37.0,0.0,0.0,0.0,132.0,80.0,25.0,0.0,19.0,4.0,0.0,4.0,0.0,0.0,620.0,442.0,93.0,85.0,278.0,10.0,0.0,17.0,103.0,148.0,47.0,0.0,47.0,1440.0
Korea,2014.0,344.0,231.0,57.0,37.0,20.0,0.0,0.0,132.0,76.0,13.0,28.0,0.0,0.0,1.0,1.0,13.0,0.0,678.0,471.0,117.0,90.0,258.0,27.0,4.0,42.0,102.0,82.0,28.0,9.0,18.0,1440.0
Latvia,2003.0,330.0,280.0,37.0,10.0,4.0,0.0,0.0,196.0,130.0,16.0,15.0,15.0,0.0,11.0,0.0,24.0,0.0,641.0,512.0,89.0,40.0,269.0,25.0,5.0,35.0,123.0,81.0,4.0,2.0,2.0,1440.0
Lithuania ,2003.0,315.0,275.0,29.0,8.0,3.0,0.0,0.0,224.0,154.0,17.0,19.0,19.0,0.0,13.0,0.0,20.0,0.0,646.0,503.0,88.0,54.0,247.0,16.0,1.0,32.0,137.0,61.0,8.0,3.0,5.0,1440.0
Luxembourg,2013.0,285.0,212.0,35.0,25.0,13.0,0.0,0.0,179.0,108.0,23.0,20.0,20.0,0.0,3.0,3.0,22.0,0.0,686.0,518.0,112.0,55.0,276.0,33.0,12.0,32.0,116.0,82.0,14.0,3.0,11.0,1440.0
Mexico,2014.0,349.0,263.0,39.0,34.0,11.0,2.0,0.0,264.0,187.0,14.0,38.0,33.0,6.0,12.0,2.0,10.0,0.0,634.0,499.0,77.0,58.0,172.0,14.0,7.0,44.0,66.0,41.0,21.0,20.0,1.0,1440.0
Netherlands,2016.0,243.0,183.0,31.0,14.0,12.0,1.0,3.0,186.0,105.0,28.0,22.0,21.0,0.0,7.0,5.0,18.0,1.0,682.0,503.0,114.0,65.0,315.0,22.0,7.0,73.0,113.0,101.0,15.0,6.0,10.0,1440.0
New Zealand,2009.0,270.0,218.0,23.0,18.0,11.0,0.0,0.0,204.0,110.0,24.0,30.0,30.0,0.0,8.0,5.0,28.0,0.0,648.0,526.0,80.0,42.0,301.0,17.0,6.0,69.0,124.0,85.0,17.0,9.0,9.0,1440.0
Norway ,2010.0,241.0,167.0,30.0,32.0,8.0,0.0,4.0,196.0,83.0,20.0,23.0,23.0,0.0,0.0,6.0,24.0,40.0,627.0,492.0,79.0,56.0,368.0,21.0,8.0,57.0,129.0,154.0,7.0,2.0,5.0,1440.0
Poland,2013.0,260.0,202.0,27.0,21.0,9.0,0.0,0.0,226.0,135.0,25.0,38.0,38.0,0.0,9.0,1.0,18.0,0.0,657.0,509.0,91.0,57.0,286.0,23.0,3.0,45.0,122.0,93.0,11.0,9.0,3.0,1440.0
