,year,paid_work_study,paid_work_(all),work_school_travel,in_school,research/homework,job_serach,other_paid_work_study,unpaid_work,routine_housework,shopping,care_for_household_members,child_care,adult_care,care_for_non_household_members,volunteering,household_activity_travel,other_unpaid,personal_care,sleeping,eating_drinking,personal_care_travel,leisure,sports,attending_events,meeting_friends,tv_radio,other_leisure_activities,other,religion,other_(no categories),total
Australia,2006,172,128,18.0,15,11.0,0.0,0.0,311,168,36,64.0,0.0,0.0,0.0,8.0,36.0,0.0,666,514.0,91.0,61.0,269,16,6.0,10,123,114,22,15.0,7.0,1440
Austria,2008,249,193,25.0,29,1.0,1.0,1.0,269,170,26,47.0,45.0,2.0,1.0,3.0,21.0,2.0,641,501.0,81.0,58.0,274,30,9.0,83,101,52,7,2.0,5.0,1440
Belgium,2013,159,99,18.0,41,0.0,1.0,0.0,251,159,26,28.0,28.0,0.0,0.0,6.0,32.0,0.0,680,525.0,93.0,62.0,346,6,6.0,83,135,116,5,0.0,5.0,1440
Canada,2015,268,206,25.0,20,16.0,1.0,0.0,224,134,29,39.0,37.0,2.0,5.0,4.0,12.0,0.0,653,527.0,65.0,61.0,260,17,6.0,54,100,83,36,5.0,31.0,1440
Denmark,2001,195,147,18.0,19,10.0,0.0,0.0,243,145,30,35.0,0.0,0.0,9.0,2.0,22.0,0.0,673,497.0,120.0,57.0,320,20,8.0,87,115,90,10,5.0,4.0,1440
Estonia,2009,245,191,29.0,24,1.0,0.0,0.0,249,147,27,42.0,42.0,0.0,8.0,0.0,25.0,0.0,663,528.0,77.0,59.0,278,23,8.0,40,107,100,4,2.0,3.0,1440
Finland,2009,210,157,20.0,31,0.0,0.0,2.0,236,134,29,32.0,31.0,1.0,5.0,3.0,23.0,10.0,651,512.0,81.0,58.0,304,35,8.0,60,101,99,40,1.0,39.0,1440
France,2009,175,118,20.0,24,12.0,1.0,0.0,224,157,26,30.0,29.0,1.0,3.0,0.0,7.0,1.0,761,516.0,131.0,113.0,270,7,14.0,58,104,87,10,3.0,7.0,1440
Germany,2012,205,154,24.0,14,9.0,1.0,3.0,242,139,37,26.0,25.0,1.0,7.0,5.0,24.0,4.0,659,503.0,97.0,59.0,316,25,14.0,63,111,103,18,3.0,15.0,1440
Greece,2013,145,87,15.0,27,15.0,1.0,0.0,266,198,18,21.0,18.0,3.0,8.0,0.0,21.0,0.0,702,518.0,125.0,60.0,318,20,4.0,57,145,93,9,6.0,3.0,1440
Hungary,1999,232,171,28.0,33,0.0,0.0,0.0,268,186,26,28.0,28.0,0.0,0.0,0.0,28.0,0.0,683,0.0,0.0,0.0,255,15,3.0,44,158,34,2,2.0,0.0,1440
Ireland,2005,197,142,20.0,35,0.0,0.0,0.0,296,135,40,94.0,0.0,0.0,0.0,7.0,20.0,0.0,629,506.0,75.0,48.0,290,17,34.0,56,76,107,28,6.0,22.0,1440
Italy,2013,133,84,16.0,12,16.0,1.0,3.0,306,205,32,35.0,33.0,3.0,8.0,2.0,23.0,0.0,705,512.0,125.0,68.0,281,33,5.0,58,90,95,14,8.0,6.0,1440
Japan,2016,272,203,33.0,36,0.0,0.0,0.0,224,148,35,0.0,32.0,6.0,0.0,4.0,0.0,0.0,626,435.0,96.0,96.0,266,7,0.0,18,103,137,51,0.0,51.0,1440
Korea,2009,273,167,42.0,55,9.0,0.0,0.0,227,138,20,48.0,0.0,0.0,1.0,1.0,19.0,0.0,654,462.0,103.0,88.0,268,23,3.0,48,120,74,17,15.0,2.0,1440
Latvia,2003,288,242,31.0,11,5.0,0.0,0.0,253,170,20,25.0,25.0,0.0,10.0,0.0,28.0,0.0,644,515.0,85.0,43.0,249,20,4.0,35,108,81,5,3.0,3.0,1440
Mexico,2014,250,175,28.0,34,13.0,1.0,0.0,383,273,17,59.0,51.0,8.0,19.0,2.0,13.0,0.0,619,479.0,77.0,63.0,165,10,7.0,49,58,41,23,22.0,1.0,1440
Netherlands,2005,205,146,22.0,25,12.0,0.0,0.0,254,134,37,42.0,38.0,3.0,0.0,21.0,20.0,0.0,657,516.0,70.0,71.0,290,20,23.0,96,84,68,33,6.0,27.0,1440
New Zealand,2009,205,160,18.0,16,12.0,0.0,0.0,264,142,30,44.0,44.0,0.0,9.0,6.0,34.0,0.0,656,529.0,80.0,47.0,295,15,7.0,77,118,79,19,10.0,9.0,1440
Norway,2010,200,129,23.0,29,14.0,0.0,5.0,227,114,26,34.0,34.0,0.0,0.0,6.0,25.0,22.0,642,501.0,77.0,63.0,366,21,9.0,69,116,152,5,2.0,3.0,1440
Poland,2013,161,121,18.0,14,8.0,0.0,0.0,286,184,31,47.0,45.0,2.0,11.0,14.0,0.0,0.0,678,520.0,95.0,63.0,259,21,2.0,46,123,67,56,14.0,42.0,1440
Portugal,1999,231,179,20.0,23,9.0,0.0,0.0,328,253,19,26.0,0.0,0.0,10.0,2.0,17.0,0.0,674,508.0,108.0,58.0,200,6,9.0,35,103,46,7,6.0,1.0,1440
Slovenia,2000,234,169,24.0,22,19.0,0.0,0.0,286,212,20,30.0,30.0,0.0,5.0,0.0,19.0,0.0,630,504.0,83.0,43.0,283,28,4.0,61,106,84,6,4.0,2.0,1440
Spain,2009,167,121,19.0,17,9.0,1.0,0.0,289,163,31,45.0,42.0,3.0,8.0,1.0,24.0,17.0,687,511.0,123.0,53.0,284,37,8.0,49,118,72,13,4.0,9.0,1440
Sweden,2010,269,212,19.0,14,0.0,0.0,0.0,207,95,16,25.0,21.0,4.0,0.0,0.0,17.0,6.0,617,543.0,74.0,0.0,272,16,5.0,32,89,131,76,0.0,0.0,1440
Turkey,2014,116,69,0.0,47,0.0,0.0,0.0,309,206,13,38.0,36.0,2.0,51.0,0.0,0.0,0.0,697,533.0,163.0,0.0,271,5,2.0,74,128,61,47,0.0,47.0,1440
United Kingdom,2014,216,159,30.0,12,13.0,1.0,1.0,249,132,36,47.0,37.0,9.0,8.0,3.0,23.0,0.0,655,512.0,78.0,65.0,285,16,8.0,53,122,87,35,5.0,30.0,1440
United States,2016,246,190,18.0,22,15.0,1.0,0.0,243,127,27,42.0,40.0,2.0,6.0,7.0,31.0,3.0,662,531.0,61.0,70.0,262,16,6.0,46,132,62,27,11.0,16.0,1440
China,2008,291,228,38.0,25,0.0,0.0,0.0,234,155,25,33.0,0.0,0.0,2.0,1.0,18.0,0.0,692,544.0,96.0,52.0,211,22,2.0,24,122,41,12,0.0,12.0,1440
India,1999,185,149,18.0,10,9.0,0.0,0.0,352,298,9,37.0,0.0,0.0,1.0,0.0,6.0,0.0,670,521.0,80.0,69.0,221,1,3.0,64,54,98,13,13.0,0.0,1440
South Africa,2010,195,116,29.0,22,13.0,0.0,14.0,250,183,11,30.0,29.0,1.0,1.0,2.0,10.0,13.0,695,557.0,69.0,69.0,282,2,5.0,74,125,76,19,19.0,0.0,1440
