,year,paid_work_study,paid_work_(all),work_school_travel,in_school,research/homework,job_serach,other_paid_work_study,unpaid_work,routine_housework,shopping,care_for_household_members,child_care,adult_care,care_for_non_household_members,volunteering,household_activity_travel,other_unpaid,personal_care,sleeping,eating_drinking,personal_care_travel,leisure,sports,attending_events,meeting_friends,tv_radio,other_leisure_activities,other,religion,other_(no categories),total
Australia,2006,172,128,18,15,11.0,0.0,0.0,311,168,36,64.0,0.0,0.0,0.0,8.0,36.0,0.0,666,514,91,61,269,16,6.0,46,123,78,22,15.0,7.0,1440
Austria,2008,249,193,25,29,1.0,1.0,1.0,269,170,26,47.0,45.0,2.0,1.0,3.0,21.0,2.0,641,501,81,58,274,30,9.0,83,101,52,7,2.0,5.0,1440
Belgium,2013,199,134,24,25,16.0,0.0,0.0,237,153,34,29.0,29.0,0.0,3.0,2.0,16.0,0.0,677,519,101,57,317,16,13.0,54,122,111,9,3.0,7.0,1440
Canada,2015,268,206,25,20,16.0,1.0,0.0,224,134,29,39.0,37.0,2.0,5.0,4.0,12.0,0.0,653,527,65,61,260,17,6.0,54,100,83,36,5.0,31.0,1440
Denmark,2001,195,147,18,19,10.0,0.0,0.0,243,145,30,35.0,0.0,0.0,9.0,2.0,22.0,0.0,673,497,120,57,320,20,8.0,87,115,90,10,5.0,4.0,1440
Estonia,2009,245,191,29,24,1.0,0.0,0.0,249,147,27,42.0,42.0,0.0,8.0,0.0,25.0,0.0,663,528,77,59,278,23,8.0,40,107,100,4,2.0,3.0,1440
Finland,2009,210,157,20,31,0.0,0.0,2.0,236,134,29,32.0,31.0,1.0,5.0,3.0,23.0,10.0,651,512,81,58,304,35,8.0,60,101,99,40,1.0,39.0,1440
France,2009,175,118,20,24,12.0,1.0,0.0,224,157,26,30.0,29.0,1.0,3.0,0.0,7.0,1.0,761,516,131,113,270,7,14.0,58,104,87,10,3.0,7.0,1440
Germany,2012,205,154,24,14,9.0,1.0,3.0,242,139,37,26.0,25.0,1.0,7.0,5.0,24.0,4.0,659,503,97,59,316,25,14.0,63,111,103,18,3.0,15.0,1440
Greece,2013,185,120,22,24,20.0,0.0,0.0,259,193,18,25.0,25.0,0.0,9.0,0.0,14.0,0.0,679,498,122,60,311,23,6.0,55,126,102,7,4.0,3.0,1440
Hungary,2010,203,141,24,25,13.0,0.0,0.0,294,196,22,47.0,47.0,0.0,8.0,0.0,21.0,0.0,679,508,97,74,257,10,6.0,34,123,85,8,2.0,5.0,1440
Ireland,2005,195,140,20,35,0.0,0.0,0.0,293,134,39,93.0,0.0,0.0,0.0,7.0,20.0,0.0,623,501,75,48,287,17,34.0,55,76,105,42,7.0,36.0,1440
Italy ,2013,133,84,16,12,16.0,1.0,3.0,306,205,32,35.0,33.0,3.0,8.0,2.0,23.0,0.0,705,512,125,68,281,33,5.0,58,90,95,14,8.0,6.0,1440
Japan,2016,272,203,33,36,0.0,0.0,0.0,224,148,35,0.0,32.0,6.0,0.0,4.0,0.0,0.0,626,435,96,96,266,7,0.0,18,103,137,51,0.0,51.0,1440
Korea,2014,269,174,41,35,19.0,0.0,0.0,215,130,20,44.0,0.0,0.0,1.0,1.0,18.0,0.0,680,471,115,94,244,23,5.0,46,103,67,32,12.0,20.0,1440
Latvia,2003,288,242,31,11,5.0,0.0,0.0,253,170,20,25.0,25.0,0.0,10.0,0.0,28.0,0.0,644,515,85,43,249,20,4.0,35,108,81,5,3.0,3.0,1440
Lithuania ,2003,279,241,26,9,4.0,0.0,0.0,292,207,21,30.0,30.0,0.0,11.0,0.0,22.0,0.0,645,504,85,56,215,13,2.0,32,115,54,9,3.0,6.0,1440
Luxembourg,2013,239,170,32,26,12.0,0.0,0.0,240,148,29,28.0,28.0,0.0,3.0,3.0,28.0,0.0,694,520,113,60,253,28,13.0,34,108,70,15,4.0,10.0,1440
Mexico,2014,236,166,26,32,11.0,1.0,0.0,331,275,17,55.0,48.0,7.0,18.0,2.0,13.0,0.0,642,500,78,63,159,10,6.0,48,58,37,23,22.0,1.0,1440
Netherlands,2016,201,146,26,12,12.0,1.0,3.0,225,128,32,29.0,28.0,0.0,9.0,5.0,22.0,1.0,697,509,117,71,300,20,7.0,77,100,95,17,7.0,10.0,1440
New Zealand,2009,205,160,18,16,12.0,0.0,0.0,264,142,30,44.0,44.0,0.0,9.0,6.0,34.0,0.0,656,529,80,47,295,15,7.0,77,118,79,19,10.0,9.0,1440
Norway ,2010,200,129,23,29,14.0,0.0,5.0,227,114,26,34.0,34.0,0.0,0.0,6.0,25.0,22.0,642,501,77,63,366,21,9.0,69,116,152,5,2.0,3.0,1440
Poland,2013,203,150,22,22,9.0,0.0,0.0,295,178,30,55.0,55.0,0.0,10.0,0.0,21.0,0.0,667,514,92,62,262,21,3.0,45,109,84,13,9.0,3.0,1440
Portugal,1999,231,179,20,23,9.0,0.0,0.0,328,253,19,26.0,0.0,0.0,10.0,2.0,17.0,0.0,674,508,108,58,200,6,9.0,35,103,46,7,6.0,1.0,1440
Slovenia,2000,234,169,24,22,19.0,0.0,0.0,286,212,20,30.0,30.0,0.0,5.0,0.0,19.0,0.0,630,504,83,43,283,28,4.0,61,106,84,6,4.0,2.0,1440
Spain,2009,167,121,19,17,9.0,1.0,0.0,289,163,31,45.0,42.0,3.0,8.0,1.0,24.0,17.0,687,511,123,53,284,37,8.0,49,118,72,13,4.0,9.0,1440
Sweden,2010,275,213,30,33,0.0,0.0,0.0,220,120,27,38.0,31.0,7.0,0.0,0.0,27.0,8.0,633,483,85,65,306,33,8.0,56,104,104,5,0.0,0.0,1440
Turkey,2014,134,85,18,16,14.0,0.0,0.0,305,222,15,46.0,43.0,3.0,2.0,3.0,12.0,6.0,685,518,120,47,270,5,2.0,72,122,69,46,41.0,5.0,1440
UK,2014,216,159,30,12,13.0,1.0,1.0,249,132,36,47.0,37.0,9.0,8.0,3.0,23.0,0.0,655,512,78,65,285,16,8.0,53,122,87,35,5.0,30.0,1440
USA,2019,247,193,17,19,16.0,3.0,0.0,271,120,26,39.0,37.0,2.0,5.0,7.0,32.0,3.0,667,538,62,68,266,14,7.0,45,136,64,28,9.0,18.0,1440
China,2008,291,228,38,25,0.0,0.0,0.0,234,155,25,33.0,0.0,0.0,2.0,1.0,18.0,0.0,692,544,96,52,211,22,2.0,24,122,41,12,0.0,12.0,1440
India,1998,185,149,18,10,9.0,0.0,0.0,352,298,9,37.0,0.0,0.0,1.0,0.0,6.0,0.0,670,521,80,69,221,1,3.0,64,54,98,13,13.0,0.0,1440
South Africa,2010,195,116,29,22,13.0,0.0,14.0,250,183,11,30.0,29.0,1.0,1.0,2.0,10.0,13.0,695,557,69,69,282,2,5.0,74,125,76,19,19.0,0.0,1440
