caseid,market,census,region,qs1,s1t,qs3,q1a,q2a,q3,q3b,q4a,q5a,q6a,weekavg,q6b,q7a,q7b,q7c,q7d,q8a,q8b,q8c,q9a,q9b,q9c,q9d,q9e,q10,q11,q12,q13,q14,q15a,q15b,q15c,q16a,q16b,q16c,q17a,q17b,q18,q19,q20,q21a,slp,q21b,q22a,q22b,q22c,q22d,q22e,q22f,q22g,q23a,q23b,q23c,q23d,q23e,q23f,q24a,q24b,q24c,q24d,q24e,q24f,q24g,q25a,q25b,q25c,q25d,q25e,q26a,q26b,q26c,q27,q28,q2901,q2902,q2903,q2904,q2905,q2906,q30a,q30b,q31a,q31b,q32,q33a,q33b,q33c,q34,q35a,q35b,q35c,q35d,q35e,q35f,q3601,q3602,q3603,q3604,q3605,q3606,q3607,q3608,q3609,q3610,q37,d1,d2a,d2b,d2c,d2d,ttlkid,d3,d4,d501,d502,d503,d504,d6,d7,q38,q39a,q39b,q39c,q39d,q40a,q40b,q40c,q40d
52,Mid2,2,2,1,,2,7,13,2.00,00,9,1,2.00,2.00,00,5,5,5,5,2,2,2,2,4,4,1,2,1,4,1,1,3,2,2,2,,,,1,3,2,,3,8.00,1.00,00,4,4,5,4,4,4,4,4,4,4,4,4,1,2,3,1,2,3,4,4,1,1,1,1,2,2,2,2, ,,,,,,,,2,99,3,3,99,3,3,3,4,8,8,8,8,8,8,2,,,,,,,,,,1,4,02,96,02,96,,3,3,1,,,,031,1,2,4,4,4,2,1,1,2,1
500,South4,3,3,1,,2,10,15,2.00,00,14,4,2.00,2.00,00,2,3,3,4,1,1,4,4,4,4,4,3,4,4,4,4,3,2,2,2,,,,1,1,2,,3,12.00,1.00,00,2,2,2,4,5,98,2,5,5,4,3,4,4,3,3,3,2,2,3,4,4,1,3,1,1,1,1,2,000,1,,,,,,,4,4,4,3,6,4,4,4,4,12,08,12,12,08,05,1,,,,,,,,,,2,4,96, , , ,,3,3,2,,,,036,1,2,2,3,2,3,2,1,2,2
713,South5,3,3,1,,1,11,15,2.00,00,11,2,2.00,2.00,00,4,5,4,4,5,2,1,3,3,3,99,3,1,3,3,3,3,99,2,2,,,,1,1,2,,4,99.00,4.00, ,2,2,3,2,2,3,2,3,4,4,3,2,1,2,3,3,5,3,1,5,96,96,96,96,96,,,, ,,,,,,,,3,3,3,3,4,4,1,1,3,10,08,11,08,12,09,7,,,,,,,,,,,1,96, , , ,,1,1,1,,,,070,98,99,3,4,3,3,2,2,99,2
861,Mid5,2,2,1,,1,7,5,2.00,99,7,5,2.20,2.06,12,5,5,1,5,5,4,5,4,4,4,4,4,1,4,4,4,4,2,2,2,,,,1,1,2,,3,2.00,2.00,00,2,5,4,3,5,5,5,1,4,4,2,4,3,5,5,5,3,3,5,5,1,2,2,1,1,2,2,2, ,,,,,,,,4,4,4,4,5,4,2,4,4,08,99,08,08,12,08,1,2,,,,,,,,,1,1,96, , , ,,3,3,1,,,,037,5,5,4,4,1,1,2,2,2,2
546,NE4,1,1,1,,2,6,2,2.00,00,9,15,4.00,2.57,00,3,1,1,3,2,1,1,4,4,3,4,4,3,4,3,4,4,2,2,2,,,,1,1,2,,2,5.00,1.00,00,5,3,5,1,5,2,2,1,1,1,1,1,5,5,4,5,1,5,5,5,1,3,1,1,1,2,2,2, ,,,,,,,,3,4,3,3,5,2,2,4,3,07,07,08,08,08,06,2,,,,,,,,,,2,3,01,01,96,96,1,3,3,1,,,,052,2,2,3,1,1,1,,,,
573,NE5,1,1,1,,2,8,14,3.00,00,8,14,3.00,3.00,00,5,5,4,4,5,99,1,4,4,4,4,3,1,4,4,3,3,2,2,2,,,,1,1,2,,3,6.00,1.00,00,3,2,2,2,3,3,3,5,5,3,1,2,99,1,3,5,5,3,5,5,1,1,1,1,2,2,2,2, ,,,,,,,,4,4,4,3,3,4,4,4,4,08,8,8,8,08,7,5,8,,,,,,,,,,1,96, , , ,,2,2,1,,,,055,3,1,4,4,4,4,2,2,2,2
133,Mid2,2,2,1,,2,2,2,4.00,00,3,4,2.00,3.43,00,5,5,5,5,99,1,5,4,4,4,4,3,1,4,4,1,1,2,2,2,,,,1,1,2,,4,6.00,1.00,00,1,2,1,1,1,1,1,5,4,4,5,4,4,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2, ,,,,,,,,3,4,4,3,5,4,2,4,4,08,08,08,08,08,08,3,,,,,,,,,,4,1,96, , , ,,4,3,1,,,,054,6,1,4,4,4,4,2,1,1,2
961,Mid5,2,2,1,,1,11,14,5.00,00,9,14,1.00,3.86,30,5,5,5,5,2,99,2,2,3,3,4,2,1,4,3,3,2,1,2,2,2,,,1,5,2,,1,7.00,1.00,00,3,1,3,99,3,2,1,4,1,99,99,1,3,2,3,4,5,4,4,4,96,96,96,96,96,,,, ,,,,,,,,99,1,4,1,3,99,3,4,4,06,06,08,08,08,07,7,,,,,,,,,,,1,96, , , ,,1,1,1,,,,074,2,1,3,3,1,1,2,2,1,2
962,Mid3,2,2,1,,1,7,4,4.00,00,3,5,2.00,3.43,00,1,1,1,1,5,1,2,4,3,4,4,2,1,4,4,1,2,2,2,2,,,,1,5,2,,5,10.00,1.00,00,5,5,5,5,5,5,5,5,5,5,1,4,1,5,1,5,3,5,1,1,96,96,96,96,96,,,, ,,,,,,,,3,2,3,1,5,1,3,4,3,24,10,08,04,05,05,8,,,,,,,,,,,1,96, , , ,,4,7,95,,,,051,5,1,2,4,4,4,1,1,2,1
538,NE4,1,1,1,,2,5,12,6.00,00,5,12,1.00,4.57,00,2,3,3,1,5,2,1,4,3,4,3,2,4,4,4,4,4,2,2,2,,,,1,1,2,,2,6.00,2.00,00,1,1,1,1,1,1,1,1,5,5,5,4,5,3,5,3,5,3,5,3,2,1,1,2,2,2,2,2, ,,,,,,,,3,3,99,99,4,4,1,4,4,99,99,99,99,99,99,7,,,,,,,,,,,1,96, , , ,,4,6,1,,,,075,5,3,2,2,3,2,,,,
824,West3,4,4,1,,1,11,4,4.00,00,12,4,3.00,3.71,00,5,5,4,4,4,99,1,3,4,3,4,2,1,1,1,4,4,2,2,2,,,,1,1,2,,4,7.00,1.00,00,2,2,2,1,1,2,2,2,5,3,5,2,3,3,3,4,3,2,5,4,3,2,2,3,5,1,2,2,000,4,2,,,,,,99,4,99,3,5,4,99,2,4,08,08,08,08,08,08,1,,,,,,,,,,4,2,96, , , ,,3,5,98,,,,024,2,1,4,4,3,3,2,1,99,2
355,South3,3,3,1,,1,4,12,5.00,00,4,15,2.00,4.14,00,1,2,2,3,99,1,2,3,3,3,3,2,3,3,3,3,3,2,2,2,,,,1,1,2,,2,7.00,1.00,00,3,3,3,2,2,3,3,3,2,3,1,3,3,4,5,5,3,4,5,5,2,2,2,2,2,2,2,2, ,,,,,,,,4,4,4,4,5,3,3,3,2,10,12,10,08,08,08,2,,,,,,,,,,1,2,96, , , ,,5,3,2,,,,038,4,5,1,1,1,1,,,,
577,South5,3,3,1,,2,5,9,3.00,00,5,8,4.00,3.29,00,5,5,5,5,99,4,5,4,2,2,4,1,1,4,4,4,4,2,2,1,,,1,5,5,2,,1,8.00,1.00,00,2,2,1,1,2,5,2,3,1,5,5,1,1,1,1,1,1,1,5,5,1,1,1,1,1,2,2,2, ,,,,,,,,3,4,4,4,5,4,2,4,4,08,08,08,08,08,08,2,,,,,,,,,,1,1,96, , , ,,4,2,1,,,,062,5,1,2,4,4,3,1,1,1,2
344,South1,3,3,1,,1,2,15,4.50,30,3,4,3.00,4.07,00,2,2,2,5,1,1,2,2,1,3,2,1,4,3,4,4,3,2,2,2,,,,1,1,2,,1,3.00,3.00,00,5,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,1,1,1,2,5,2,2,2, ,,,,,,,,1,3,4,3,1,3,2,3,4,12,10,12,14,18,12,2,,,,,,,,,,1,1,01,96,96,01,1,5,3,1,,,,022,4,4,1,1,2,3,,,,
468,South4,3,3,1,,1,7,14,6.50,30,7,1,1.00,4.93,00,3,2,3,3,4,4,1,2,3,3,2,2,3,3,99,3,3,2,2,2,,,,1,1,2,,3,6.00,3.00,00,3,3,3,3,3,2,2,2,3,3,3,4,3,1,4,2,4,4,3,2,96,96,96,96,96,,,, ,,,,,,,,3,3,2,2,4,4,1,4,3,08,10,10,10,08,08,7,,,,,,,,,,,6,96, , , ,,4,5,1,,,,046,1,2,3,2,3,3,,,,
88,West1,4,4,1,,2,4,4,4.00,00,99,99,4.00,4.00,00,4,5,1,5,4,99,1,4,3,4,4,3,4,4,4,4,4,2,2,2,,,,1,1,2,,2,2.00,3.00,00,2,2,99,3,2,2,3,2,3,4,4,3,99,3,3,4,4,3,3,5,3,2,5,2,2,1,1,2,002,2,1,,,,,,4,4,4,2,5,4,1,1,4,12,12,12,12,12,12,1,4,5,,,,,,,,4,1,96, , , ,,3,5,1,,,,046,5,1,1,1,1,3,,,,
