"Inequality-adjusted education index"
"Dimension: Inequality"
"Definition: HDI education index value adjusted for inequality in distribution of years of schooling based on data from household surveys listed in Main data sources."
"Source: Calculated based on inequality in education and the HDI education index."
""
"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"169"," Afghanistan","0.226","","0.227","","0.237","","0.219","","0.223","","0.224","","0.222","","0.223","","0.225","","0.226",""
"69"," Albania","0.586","","0.629","","0.651","","0.660","","0.668","","0.663","","0.678","","0.683","","0.652","","0.655",""
"91"," Algeria","..","","..","","..","","..","","..","","..","","0.438","","0.441","","0.443","","0.445",""
"36"," Andorra","..","","..","","..","","..","","..","","..","","..","","0.646","","0.648","","0.648",""
"148"," Angola","0.294","","..","","0.285","","0.293","","0.301","","0.309","","0.320","","0.327","","0.328","","0.328",""
"46"," Argentina","0.719","","0.724","","0.723","","0.751","","0.759","","0.765","","0.783","","0.790","","0.790","","0.804",""
"81"," Armenia","0.686","","0.689","","0.709","","0.716","","0.719","","0.722","","0.723","","0.717","","0.718","","0.718",""
"8"," Australia","0.904","","0.906","","0.913","","0.890","","0.891","","0.900","","0.885","","0.899","","0.898","","0.899",""
"18"," Austria","0.817","","0.818","","0.820","","0.803","","0.824","","0.824","","0.839","","0.843","","0.840","","0.840",""
"88"," Azerbaijan","0.580","","0.608","","0.610","","0.612","","0.618","","0.624","","0.677","","0.686","","0.673","","0.673",""
"58"," Bahamas","0.673","","0.672","","..","","0.670","","..","","..","","..","","0.689","","0.690","","0.693",""
"42"," Bahrain","..","","..","","..","","..","","..","","..","","..","","0.623","","0.592","","0.594",""
"133"," Bangladesh","0.239","","0.270","","0.276","","0.284","","0.277","","0.300","","0.311","","0.322","","0.326","","0.332",""
"58"," Barbados","..","","..","","..","","..","","0.734","","0.734","","0.734","","0.730","","0.730","","0.739",""
"53"," Belarus","0.762","","0.785","","0.788","","0.798","","0.807","","0.806","","0.808","","0.810","","0.812","","0.807",""
"14"," Belgium","0.826","","0.816","","0.808","","0.799","","0.811","","0.818","","0.810","","0.822","","0.831","","0.828",""
"110"," Belize","0.532","","..","","..","","..","","0.562","","0.567","","0.585","","0.581","","0.582","","0.584",""
"158"," Benin","0.224","","0.238","","0.251","","0.263","","0.254","","0.261","","0.261","","0.266","","0.268","","0.269",""
"129"," Bhutan","..","","0.222","","0.370","","0.384","","0.249","","0.257","","0.264","","0.286","","0.288","","0.289",""
"107"," Bolivia (Plurinational State of)","0.458","","0.465","","0.466","","0.475","","0.497","","0.527","","0.532","","0.549","","0.552","","0.573",""
"73"," Bosnia and Herzegovina","0.490","","0.593","","0.637","","0.648","","0.601","","0.602","","0.620","","0.568","","0.590","","0.590",""
"100"," Botswana","..","","..","","..","","0.441","","0.444","","0.446","","0.448","","..","","..","","0.518",""
"84"," Brazil","0.460","","0.462","","0.469","","0.503","","0.515","","0.524","","0.534","","0.537","","0.525","","0.547",""
"56"," Bulgaria","0.700","","0.720","","0.723","","0.740","","0.749","","0.751","","0.739","","0.734","","0.730","","0.732",""
"182"," Burkina Faso","0.145","","0.154","","0.162","","0.160","","0.162","","0.170","","0.184","","0.181","","0.183","","0.190",""
"185"," Burundi","0.240","","..","","..","","0.241","","0.264","","0.268","","0.271","","0.255","","0.249","","0.252",""
"126"," Cabo Verde","0.361","","0.368","","..","","0.449","","0.464","","0.465","","0.435","","0.431","","0.432","","0.429",""
"144"," Cambodia","0.306","","0.310","","0.326","","0.330","","0.333","","0.340","","0.343","","0.346","","0.346","","0.352",""
"153"," Cameroon","0.298","","0.309","","0.324","","0.337","","0.340","","0.350","","0.352","","0.364","","0.366","","0.373",""
"16"," Canada","0.815","","0.815","","0.822","","0.830","","0.840","","0.846","","0.866","","0.876","","0.869","","0.870",""
"188"," Central African Republic","0.166","","0.171","","0.174","","0.178","","0.219","","0.222","","0.226","","0.231","","0.231","","0.231",""
"187"," Chad","0.155","","0.152","","0.157","","0.162","","0.171","","0.164","","0.158","","0.164","","0.165","","0.164",""
"43"," Chile","0.626","","0.642","","0.648","","0.654","","0.684","","0.726","","0.734","","0.744","","0.640","","0.726",""
"85"," China","0.463","","0.468","","0.474","","..","","..","","..","","..","","0.573","","0.573","","0.580",""
"83"," Colombia","0.483","","0.493","","0.506","","0.501","","0.522","","0.548","","0.558","","0.547","","0.540","","0.555",""
"156"," Comoros","0.228","","0.240","","0.245","","0.246","","0.246","","0.247","","0.248","","0.249","","0.251","","0.252",""
"149"," Congo","0.350","","0.373","","0.373","","0.381","","0.410","","0.419","","0.423","","0.423","","0.426","","0.430",""
"175"," Congo (Democratic Republic of the)","0.321","","0.311","","0.312","","0.329","","0.350","","0.346","","0.351","","0.364","","0.353","","0.363",""
"62"," Costa Rica","0.535","","0.558","","0.578","","0.585","","0.602","","0.622","","0.627","","0.632","","0.601","","0.642",""
"43"," Croatia","0.675","","0.691","","0.696","","0.703","","0.763","","0.766","","0.762","","0.762","","0.764","","0.767",""
"70"," Cuba","..","","..","","..","","0.676","","0.674","","0.684","","0.684","","0.691","","0.698","","0.728",""
"33"," Cyprus","0.647","","0.655","","0.651","","0.678","","0.689","","0.694","","0.706","","0.718","","0.736","","0.740",""
"27"," Czechia","0.847","","0.852","","0.848","","0.869","","0.880","","0.878","","0.875","","0.875","","0.878","","0.878",""
"162"," Côte d'Ivoire","0.207","","0.219","","0.223","","0.218","","0.214","","0.222","","0.229","","0.230","","0.236","","0.246",""
"10"," Denmark","0.868","","0.896","","0.897","","0.897","","0.899","","0.890","","0.878","","0.880","","0.894","","0.894",""
"166"," Djibouti","0.157","","0.159","","0.163","","0.165","","0.167","","0.167","","0.167","","0.167","","..","","..",""
"88"," Dominican Republic","0.471","","0.447","","0.451","","0.471","","0.494","","0.523","","0.517","","0.532","","0.534","","0.560",""
"86"," Ecuador","0.505","","0.507","","0.541","","0.546","","0.549","","0.606","","0.604","","0.609","","0.592","","0.605",""
"116"," Egypt","0.311","","0.329","","0.338","","0.344","","0.346","","0.388","","0.381","","0.382","","0.377","","0.383",""
