"Inequality-adjusted HDI (IHDI)"
"Dimension: Inequality"
"Definition: HDI value adjusted for inequalities in the three basic dimensions of human development. See Technical note 2 at http://hdr.undp.org/sites/default/files/hdr2020_technical_notes.pdf for details on how the IHDI is calculated."
"Source: Calculated as the geometric mean of the values in the inequality-adjusted life expectancy index, inequality-adjusted education index and inequality-adjusted income index using the methodology in Technical note 2 (available at http://hdr.undp.org/sites/default/files/hdr2020_technical_notes.pdf)."
""
"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"169"," Afghanistan","..","","..","","..","","0.340","","0.343","","0.341","","0.353","","0.356","","..","","..",""
"69"," Albania","0.650","","0.658","","0.668","","0.677","","0.681","","0.682","","0.691","","0.711","","0.705","","0.708",""
"91"," Algeria","..","","..","","..","","..","","..","","..","","..","","0.591","","0.594","","0.596",""
"148"," Angola","0.311","","..","","0.305","","0.311","","0.356","","0.361","","0.391","","0.394","","0.397","","0.397",""
"46"," Argentina","0.666","","0.671","","0.671","","0.703","","0.711","","0.708","","0.717","","0.723","","0.724","","0.729",""
"81"," Armenia","0.665","","0.670","","0.673","","0.683","","0.686","","0.696","","0.699","","0.692","","0.695","","0.699",""
"8"," Australia","0.856","","0.858","","0.863","","0.858","","0.856","","0.860","","0.859","","0.864","","0.866","","0.867",""
"18"," Austria","0.836","","0.839","","0.848","","0.840","","0.842","","0.836","","0.847","","0.845","","0.850","","0.857",""
"88"," Azerbaijan","0.626","","0.644","","0.647","","0.648","","0.643","","0.646","","0.674","","0.678","","0.683","","0.684",""
"58"," Bahamas","0.690","","0.686","","..","","0.691","","..","","..","","..","","..","","..","","..",""
"133"," Bangladesh","0.393","","0.411","","0.417","","0.410","","0.409","","0.423","","0.436","","0.468","","0.474","","0.478",""
"58"," Barbados","..","","..","","..","","..","","..","","..","","..","","0.677","","0.673","","0.676",""
"53"," Belarus","0.721","","0.734","","0.739","","0.749","","0.756","","0.761","","0.762","","0.766","","0.770","","0.771",""
"14"," Belgium","0.833","","0.842","","0.840","","0.838","","0.846","","0.845","","0.842","","0.847","","0.859","","0.859",""
"110"," Belize","0.495","","..","","..","","..","","0.545","","0.549","","0.557","","0.555","","0.553","","0.554",""
"158"," Benin","0.320","","0.321","","0.327","","0.341","","0.330","","0.333","","0.337","","0.340","","0.340","","0.343",""
"129"," Bhutan","..","","..","","0.478","","0.486","","0.433","","0.443","","0.455","","0.470","","0.473","","0.476",""
"107"," Bolivia (Plurinational State of)","0.413","","0.442","","0.444","","0.482","","0.492","","0.494","","0.515","","0.527","","0.542","","0.546",""
"73"," Bosnia and Herzegovina","0.574","","0.644","","0.661","","0.675","","0.657","","0.660","","0.671","","0.653","","0.665","","0.667",""
"100"," Botswana","..","","..","","..","","0.433","","0.440","","0.445","","0.451","","..","","..","","..",""
"84"," Brazil","0.529","","0.528","","0.535","","0.549","","0.557","","0.563","","0.572","","0.579","","0.575","","0.570",""
"56"," Bulgaria","0.699","","0.701","","0.717","","0.713","","0.721","","0.722","","0.713","","0.709","","0.711","","0.721",""
"182"," Burkina Faso","0.245","","0.256","","0.265","","0.266","","0.268","","0.280","","0.296","","0.298","","0.310","","0.316",""
"185"," Burundi","0.259","","..","","..","","0.286","","0.295","","0.299","","0.304","","0.290","","0.302","","0.303",""
"126"," Cabo Verde","..","","..","","..","","0.520","","0.525","","0.524","","0.515","","..","","..","","..",""
"144"," Cambodia","0.384","","0.397","","0.409","","0.421","","0.426","","0.442","","0.464","","0.469","","0.468","","0.475",""
"153"," Cameroon","0.333","","0.342","","0.350","","0.359","","0.363","","0.369","","0.383","","0.366","","0.369","","0.375",""
"16"," Canada","0.823","","0.825","","0.828","","0.844","","0.837","","0.839","","0.847","","0.852","","0.847","","0.848",""
"188"," Central African Republic","0.212","","0.222","","0.226","","0.216","","0.208","","0.212","","0.221","","0.226","","0.230","","0.232",""
"187"," Chad","0.224","","0.227","","0.233","","0.245","","0.241","","0.239","","0.242","","0.244","","0.247","","0.248",""
"43"," Chile","0.651","","0.660","","0.665","","0.664","","0.676","","0.688","","0.705","","0.714","","0.675","","0.709",""
"85"," China","0.538","","0.549","","0.556","","..","","..","","..","","..","","0.641","","0.633","","0.639",""
"83"," Colombia","0.521","","0.495","","0.533","","0.544","","0.567","","0.570","","0.583","","0.583","","0.587","","0.595",""
"156"," Comoros","0.293","","..","","..","","..","","0.290","","0.295","","0.299","","0.301","","0.302","","0.303",""
"149"," Congo","0.355","","0.360","","0.369","","0.378","","0.411","","0.436","","0.447","","0.444","","0.429","","0.430",""
"175"," Congo (Democratic Republic of the)","0.278","","0.263","","0.266","","0.280","","0.294","","0.316","","0.326","","0.331","","0.330","","0.335",""
"62"," Costa Rica","0.607","","0.619","","0.614","","0.631","","0.638","","0.645","","0.651","","0.659","","0.651","","0.661",""
"43"," Croatia","0.691","","0.699","","0.700","","0.737","","0.759","","0.763","","0.765","","0.769","","0.778","","0.783",""
"33"," Cyprus","0.757","","0.773","","0.760","","0.766","","0.769","","0.771","","0.756","","0.777","","0.799","","0.805",""
"27"," Czechia","0.818","","0.830","","0.827","","0.833","","0.840","","0.843","","0.844","","0.848","","0.857","","0.860",""
"162"," Côte d'Ivoire","0.299","","0.290","","0.296","","0.302","","0.305","","0.313","","0.328","","0.331","","0.343","","0.346",""
"10"," Denmark","0.858","","0.874","","0.873","","0.869","","0.867","","0.866","","0.861","","0.866","","0.882","","0.883",""
"166"," Djibouti","0.285","","0.296","","0.303","","0.316","","0.322","","0.326","","0.333","","0.327","","..","","..",""
"88"," Dominican Republic","0.531","","0.526","","0.519","","0.549","","0.558","","0.578","","0.578","","0.589","","0.589","","0.595",""
"86"," Ecuador","0.579","","0.543","","0.558","","0.583","","0.589","","0.607","","0.603","","0.610","","0.610","","0.616",""
"116"," Egypt","0.484","","0.509","","0.514","","0.519","","0.521","","0.491","","0.493","","0.494","","0.493","","0.497",""
"124"," El Salvador","0.483","","0.487","","0.491","","0.491","","0.490","","0.520","","0.519","","0.522","","0.523","","0.529",""
"29"," Estonia","0.768","","0.792","","0.787","","0.793","","0.792","","0.799","","0.795","","0.807","","0.824","","0.829",""
"138"," Eswatini (Kingdom of)","0.328","","0.339","","0.348","","0.370","","0.379","","0.387","","0.414","","0.420","","0.427","","0.432",""
"173"," Ethiopia","0.277","","0.294","","0.298","","0.316","","0.321","","0.340","","0.353","","0.339","","0.343","","0.348",""
"93"," Fiji","..","","..","","..","","0.616","","0.620","","0.625","","..","","..","","..","","..",""
"11"," Finland","0.848","","0.868","","0.866","","0.877","","0.876","","0.876","","0.850","","0.882","","0.887","","0.888",""
"26"," France","0.798","","0.802","","0.805","","0.809","","0.816","","0.810","","0.782","","0.804","","0.816","","0.820",""
"119"," Gabon","0.514","","0.529","","0.536","","0.511","","0.518","","0.522","","0.536","","0.539","","0.540","","0.544",""
"172"," Gambia","0.280","","..","","..","","..","","..","","..","","0.298","","0.302","","0.306","","0.335",""
"61"," Georgia","0.623","","0.651","","0.650","","0.662","","0.676","","0.690","","0.697","","0.698","","0.708","","0.716",""
"6"," Germany","0.853","","0.868","","0.870","","0.868","","0.872","","0.871","","0.860","","0.867","","0.867","","0.869",""
"138"," Ghana","0.422","","0.389","","0.391","","0.402","","0.394","","0.398","","0.425","","0.428","","0.435","","0.440",""
"32"," Greece","0.777","","0.757","","0.765","","0.774","","0.767","","0.768","","0.759","","0.761","","0.774","","0.791",""
"127"," Guatemala","0.402","","0.418","","0.413","","0.417","","0.458","","0.459","","0.465","","0.470","","0.477","","0.481",""
"178"," Guinea","0.256","","0.262","","0.269","","0.276","","0.287","","0.298","","0.309","","0.314","","0.315","","0.313",""
"175"," Guinea-Bissau","0.251","","0.261","","0.262","","0.273","","0.277","","0.281","","0.283","","0.285","","0.295","","0.300",""
"122"," Guyana","0.528","","0.512","","0.536","","0.544","","0.548","","0.547","","0.549","","0.551","","0.554","","0.556",""
"170"," Haiti","0.279","","0.286","","0.288","","0.295","","0.301","","0.300","","0.305","","0.308","","0.303","","0.303",""
"132"," Honduras","0.423","","0.419","","0.443","","0.415","","0.419","","0.438","","0.462","","0.469","","0.471","","0.472",""
"4"," Hong Kong, China (SAR)","..","","..","","..","","..","","..","","..","","..","","0.816","","0.821","","0.824",""
"40"," Hungary","0.759","","0.769","","0.769","","0.777","","0.778","","0.777","","0.777","","0.779","","0.782","","0.791",""
"4"," Iceland","0.839","","0.853","","0.857","","0.873","","0.876","","0.880","","0.884","","0.885","","0.892","","0.894",""
"131"," India","0.407","","0.422","","0.422","","0.432","","0.440","","0.455","","0.455","","0.468","","0.473","","0.475",""
"107"," Indonesia","0.547","","0.550","","0.556","","0.555","","0.564","","0.569","","0.579","","0.574","","0.588","","0.590",""
"70"," Iran (Islamic Republic of)","..","","..","","..","","0.512","","0.514","","0.518","","..","","0.697","","0.695","","0.693",""
"123"," Iraq","..","","..","","..","","0.507","","0.505","","0.504","","0.516","","0.531","","0.538","","0.541",""
"2"," Ireland","0.819","","0.837","","0.842","","0.848","","0.848","","0.861","","0.859","","0.862","","0.880","","0.885",""
"19"," Israel","0.783","","0.791","","0.793","","0.808","","0.788","","0.788","","0.791","","0.796","","0.818","","0.814",""
"29"," Italy","0.773","","0.787","","0.777","","0.776","","0.780","","0.780","","0.772","","0.777","","0.782","","0.783",""
"101"," Jamaica","0.610","","0.613","","0.591","","0.590","","0.601","","0.610","","0.607","","0.609","","0.611","","0.612",""
"19"," Japan","..","","..","","..","","0.790","","0.794","","0.795","","0.800","","..","","0.884","","0.843",""
"102"," Jordan","0.595","","0.595","","0.596","","0.593","","0.609","","0.609","","0.611","","0.609","","0.621","","0.622",""
