"Inequality-adjusted income index"
"Dimension: Inequality"
"Definition: HDI income index value adjusted for inequality in income distribution based on data from household surveys listed in Main data sources."
"Source: Calculated based on inequality in income and the HDI income index."
""
"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"169"," Afghanistan","..","","..","","..","","0.418","","0.417","","0.412","","0.412","","0.418","","..","","..",""
"69"," Albania","0.605","","0.583","","0.584","","0.589","","0.590","","0.594","","0.598","","0.646","","0.644","","0.648",""
"91"," Algeria","..","","..","","..","","..","","..","","..","","..","","0.634","","0.633","","0.631",""
"148"," Angola","0.407","","0.320","","0.324","","0.326","","0.467","","0.466","","0.459","","0.454","","0.446","","0.442",""
"46"," Argentina","0.538","","0.543","","0.541","","0.595","","0.606","","0.599","","0.602","","0.609","","0.604","","0.606",""
"81"," Armenia","0.617","","0.622","","0.609","","0.613","","0.617","","0.620","","0.618","","0.603","","0.606","","0.616",""
"8"," Australia","0.766","","0.767","","0.771","","0.772","","0.763","","0.765","","0.766","","0.766","","0.771","","0.771",""
"18"," Austria","0.803","","0.806","","0.829","","0.818","","0.801","","0.781","","0.793","","0.783","","0.803","","0.821",""
"88"," Azerbaijan","0.708","","0.702","","0.705","","0.713","","0.685","","0.684","","0.674","","0.675","","0.676","","0.678",""
"58"," Bahamas","0.672","","0.672","","..","","0.671","","..","","..","","..","","..","","..","","..",""
"133"," Bangladesh","0.443","","0.434","","0.441","","0.389","","0.392","","0.398","","0.403","","0.480","","0.489","","0.493",""
"58"," Barbados","0.636","","..","","..","","..","","..","","..","","..","","0.503","","0.502","","0.502",""
"53"," Belarus","0.690","","0.688","","0.691","","0.698","","0.703","","0.704","","0.692","","0.697","","0.701","","0.704",""
"14"," Belgium","0.794","","0.824","","0.825","","0.822","","0.829","","0.820","","0.812","","0.814","","0.836","","0.837",""
"110"," Belize","0.325","","..","","..","","0.393","","0.393","","0.396","","0.394","","0.392","","0.391","","0.390",""
"158"," Benin","0.402","","0.381","","0.382","","0.387","","0.361","","0.360","","0.360","","0.358","","0.354","","0.358",""
